Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
100,290,100,1,2.0,3.5,7.43,1,0.34
101,314,115,2,2.0,3.0,7.37,1,0.44
102,296,94,5,3.0,2.5,9.59,1,0.43
103,298,108,3,3.5,2.5,8.84,1,0.51
104,313,94,4,3.5,3.5,7.27,1,0.37
105,290,107,5,1.5,5.0,8.17,0,0.43
106,333,95,3,4.5,3.5,8.72,1,0.62
107,297,109,3,2.0,3.0,7.06,0,0.34
108,313,108,1,1.5,4.0,9.55,0,0.47
109,300,98,2,4.5,3.0,9.31,1,0.5
110,340,115,2,5.0,1.0,8.38,1,0.66
111,306,114,5,4.5,3.0,9.82,0,0.65
112,297,96,2,4.0,5.0,8.1,0,0.36
113,324,103,4,3.5,1.5,9.87,1,0.67
114,324,108,2,3.0,4.0,8.88,0,0.56
115,322,114,5,1.5,2.0,8.78,1,0.61
116,294,104,2,2.5,3.0,7.32,1,0.34
117,331,114,4,2.5,1.5,9.55,1,0.77
118,328,116,1,2.0,3.0,8.13,0,0.55
119,330,94,5,4.0,4.0,7.31,0,0.5
120,317,100,1,3.0,2.5,6.84,1,0.34
121,296,108,1,1.5,3.5,8.55,0,0.34
122,298,108,1,2.0,4.0,8.45,0,0.38
123,297,111,3,3.5,4.5,9.04,0,0.53
124,301,107,3,1.5,2.0,9.58,0,0.47
125,323,116,1,4.5,2.5,7.05,0,0.5
126,322,113,5,3.0,1.5,9.08,0,0.57
127,337,104,4,3.0,5.0,7.38,0,0.61
128,312,118,4,3.5,4.5,9.48,1,0.71
129,313,110,2,4.5,3.0,9.36,0,0.56
130,326,108,5,2.5,4.5,8.49,0,0.64
131,324,95,3,3.5,3.0,9.02,0,0.56
132,333,103,1,3.5,3.5,7.78,0,0.57
133,329,120,2,2.0,1.5,8.27,0,0.57
134,311,100,4,4.5,4.0,9.36,0,0.56
135,316,110,3,4.0,1.5,8.23,0,0.5
136,324,103,3,3.5,4.5,7.92,0,0.55
137,290,100,1,4.5,4.0,8.34,1,0.36
138,324,98,4,4.5,4.0,9.38,0,0.67
139,326,119,5,4.0,1.0,7.85,0,0.62
140,336,105,3,4.5,2.0,7.34,0,0.53
141,303,111,1,4.0,2.0,9.02,0,0.46
142,292,110,5,3.5,2.5,9.38,1,0.57
143,290,117,4,3.5,1.5,7.11,1,0.42
144,294,106,3,4.0,4.5,7.55,1,0.41
145,315,107,5,1.5,3.0,7.24,1,0.46
146,303,112,5,4.5,2.0,7.89,1,0.51
147,328,96,5,4.5,2.5,8.21,1,0.6
148,316,94,3,1.0,3.0,9.14,1,0.47
149,298,103,3,4.5,3.5,8.83,1,0.51
150,304,116,2,1.5,3.0,8.74,1,0.55
151,304,111,4,2.5,4.5,7.9,1,0.53
152,315,118,1,4.0,3.0,9.43,1,0.67
153,331,112,5,1.5,5.0,8.27,1,0.67
154,302,95,2,4.5,4.5,9.85,1,0.52
155,340,112,1,4.5,2.0,8.78,1,0.7
156,321,114,2,3.0,4.5,7.19,1,0.58
157,328,107,3,1.0,1.5,8.91,1,0.54
158,338,116,5,2.0,4.5,7.81,0,0.69
159,321,98,1,3.5,2.5,8.94,1,0.44
160,293,104,1,5.0,4.5,7.02,0,0.34
161,319,112,1,3.5,4.5,7.35,1,0.55
162,326,101,1,2.0,4.0,9.47,1,0.58
163,312,117,1,3.5,4.0,7.51,0,0.49
164,328,98,2,3.0,2.0,9.41,1,0.55
165,334,105,5,4.0,1.5,7.67,0,0.56
166,304,117,3,1.5,2.5,8.81,0,0.46
167,332,96,3,4.0,1.5,8.97,0,0.54
168,318,94,3,3.0,4.0,8.4,1,0.49
169,325,114,3,5.0,2.5,7.75,1,0.65
170,302,120,2,2.5,5.0,7.46,1,0.5
171,321,102,4,3.5,3.5,6.9,0,0.37
172,296,102,5,4.5,4.5,7.75,0,0.47
173,340,109,1,1.5,1.5,8.84,1,0.56
174,311,106,4,4.5,4.5,9.73,1,0.67
175,317,103,3,4.0,4.5,9.52,1,0.67
176,291,100,4,1.5,3.0,9.19,1,0.39
177,331,101,5,2.0,3.5,9.26,1,0.7
178,334,117,1,4.0,4.0,8.87,0,0.7
179,295,103,1,1.5,1.5,7.61,0,0.34
180,317,108,5,3.5,3.0,9.63,0,0.6
181,317,120,5,2.5,2.5,8.89,1,0.73
182,333,97,3,3.5,1.5,8.55,0,0.5
183,333,98,1,1.0,2.5,7.15,0,0.34
184,309,105,4,4.5,1.5,8.19,0,0.46
185,319,104,2,5.0,1.0,8.24,0,0.39
186,300,99,2,5.0,1.5,9.5,0,0.42
187,317,101,5,4.0,5.0,8.51,1,0.6
188,314,100,3,1.5,3.0,7.99,0,0.34
189,328,109,2,4.0,5.0,9.85,1,0.71
190,322,118,1,1.0,2.5,7.15,1,0.49
191,290,117,5,1.0,2.0,8.12,1,0.42
192,316,93,4,2.5,3.0,6.93,1,0.4
193,302,96,5,3.0,3.0,9.11,1,0.47
194,330,120,4,4.0,1.5,9.66,0,0.69
195,292,96,5,3.5,3.5,7.67,0,0.34
196,328,97,5,3.0,2.0,9.48,1,0.66
197,295,110,5,2.0,3.5,7.71,1,0.44
198,297,99,4,5.0,3.5,9.64,1,0.54
199,316,107,4,2.5,1.5,9.15,0,0.52
200,298,104,5,3.0,1.0,9.31,1,0.5
201,326,92,2,1.5,4.0,6.86,0,0.34
202,322,113,3,4.0,3.0,9.8,1,0.77
203,340,111,3,4.0,1.0,9.07,0,0.65
204,331,108,3,2.0,5.0,7.75,1,0.57
205,333,98,4,1.5,1.0,9.39,0,0.5
206,313,116,4,3.5,4.0,7.68,1,0.61
207,304,104,2,3.5,5.0,9.52,0,0.49
208,321,95,3,2.0,2.0,7.15,0,0.34
209,321,95,3,5.0,1.5,9.0,0,0.49
210,313,97,5,1.5,1.5,8.49,0,0.38
211,330,119,4,2.5,2.0,7.1,0,0.55
212,338,110,3,5.0,1.5,7.55,0,0.56
213,338,120,2,2.5,4.0,6.84,0,0.57
214,301,103,2,3.5,1.0,8.26,1,0.34
215,328,113,3,2.5,3.0,7.74,1,0.61
216,291,98,4,2.0,5.0,8.67,1,0.45
217,292,118,2,5.0,4.5,7.73,1,0.46
218,338,101,5,2.5,3.5,7.74,1,0.59
219,326,117,2,4.5,2.0,9.12,0,0.6
220,338,110,1,2.0,3.5,6.95,0,0.45
221,306,98,1,2.0,3.0,9.62,0,0.38
222,338,94,4,1.0,2.5,9.46,0,0.49
223,291,104,3,3.5,1.5,8.88,0,0.34
224,291,104,4,2.5,4.5,8.65,1,0.43
225,317,109,4,4.5,3.0,9.58,1,0.7
226,312,119,4,3.0,2.0,7.38,1,0.54
227,326,117,4,5.0,2.5,7.05,1,0.62
228,321,111,5,1.5,2.5,7.55,0,0.49
229,322,119,5,4.5,4.5,9.28,0,0.77
230,290,99,2,4.0,4.0,6.91,0,0.34
231,308,120,1,4.0,4.0,8.62,1,0.66
232,291,100,4,4.5,1.0,9.91,0,0.46
233,333,98,2,4.0,2.5,9.47,1,0.58
234,315,92,1,3.5,3.0,8.43,0,0.37
235,321,94,3,1.5,1.0,7.0,0,0.34
236,295,104,5,1.0,2.0,9.39,1,0.42
237,321,119,1,4.5,4.0,8.67,0,0.65
238,293,116,3,3.5,1.5,7.16,0,0.38
239,300,119,1,4.0,3.0,7.09,1,0.4
240,306,108,5,3.0,2.0,9.64,0,0.52
241,327,116,5,1.5,1.0,8.89,1,0.68
242,313,115,2,1.5,2.0,9.39,0,0.52
243,294,92,4,3.5,5.0,9.54,0,0.45
244,323,97,1,2.5,4.0,8.58,0,0.44
245,295,112,1,2.0,5.0,8.41,0,0.41
246,311,97,3,3.0,3.0,8.14,0,0.34
247,300,117,5,1.5,1.5,7.79,0,0.45
248,337,103,1,3.5,3.0,8.16,0,0.55
249,305,104,5,2.0,3.0,9.21,0,0.48
250,322,104,1,4.0,4.5,8.68,1,0.58
251,298,120,2,2.0,1.5,9.58,1,0.48
252,295,106,4,3.0,3.0,8.18,0,0.4
253,305,112,1,1.0,1.5,8.69,0,0.37
254,318,107,5,1.5,2.5,8.77,1,0.57
255,292,113,2,2.5,4.0,8.65,0,0.45
256,309,112,1,3.0,3.0,8.99,0,0.47
257,325,102,3,3.5,2.5,7.54,1,0.51
258,308,119,4,2.0,2.5,8.4,0,0.49
259,315,96,1,4.0,3.0,7.13,0,0.34
260,292,95,2,4.5,4.0,8.0,1,0.34
261,308,94,3,4.0,4.5,8.32,0,0.42
262,309,110,2,1.0,5.0,8.83,0,0.47
263,321,111,2,3.0,4.0,9.77,1,0.68
264,296,116,3,1.5,2.5,8.67,0,0.45
265,330,109,2,2.0,4.0,9.12,1,0.63
266,322,106,3,5.0,3.0,8.38,0,0.51
267,329,100,1,1.5,2.0,8.78,0,0.47
268,328,108,3,3.0,4.5,7.02,1,0.6
269,307,105,3,3.5,1.0,7.59,1,0.35
270,329,106,4,4.0,4.5,7.93,0,0.63
271,290,92,3,3.0,3.0,8.27,1,0.34
272,300,112,3,1.0,3.5,6.94,1,0.37
273,317,113,1,2.5,3.5,7.24,0,0.42
274,314,113,4,3.0,4.5,7.66,0,0.53
275,339,94,5,1.5,3.5,9.83,0,0.61
276,312,107,1,2.5,3.5,7.83,1,0.41
277,320,114,1,1.0,1.5,8.3,1,0.44
278,319,116,5,1.5,3.0,7.41,1,0.54
279,331,102,3,2.5,1.5,8.71,1,0.55
280,324,103,2,1.5,4.0,7.68,0,0.4
281,296,101,4,3.5,3.0,7.45,1,0.39
282,305,107,2,4.0,3.5,8.41,0,0.49
283,315,99,5,4.0,1.0,6.82,1,0.38
284,337,97,1,2.0,1.5,6.82,0,0.34
285,338,103,1,1.5,4.0,7.48,0,0.46
286,291,115,4,1.5,1.5,6.91,0,0.34
287,290,119,1,3.5,1.5,7.14,1,0.34
288,337,112,1,4.0,1.0,7.86,0,0.54
289,301,99,4,1.0,5.0,9.3,0,0.45
290,294,117,4,4.5,4.0,8.58,1,0.56
291,326,119,5,1.0,2.5,8.4,0,0.64
292,321,95,1,3.0,2.0,7.72,1,0.39
293,298,117,1,4.0,2.5,9.71,1,0.54
294,330,99,5,4.5,4.0,8.04,0,0.59
295,324,117,3,4.0,3.5,7.07,0,0.57
296,308,119,3,4.0,1.5,8.73,1,0.59
297,337,109,3,2.5,1.5,7.16,0,0.51
298,305,119,5,4.5,1.5,7.88,1,0.66
299,292,119,1,1.5,3.5,8.38,1,0.41
300,309,96,5,4.5,4.0,9.53,1,0.57
301,313,100,5,3.0,2.0,8.34,0,0.45
302,322,95,3,4.5,1.0,8.99,1,0.53
303,313,118,2,3.0,1.5,9.9,0,0.58
304,300,113,1,3.5,5.0,7.21,0,0.43
305,338,108,3,3.0,2.0,7.66,0,0.49
306,297,100,2,4.0,4.0,8.03,0,0.37
307,325,92,2,1.5,3.5,8.12,1,0.39
308,327,112,4,1.0,2.5,8.08,0,0.57
309,329,111,1,2.0,2.0,9.63,1,0.67
310,309,104,2,1.5,1.5,9.03,1,0.4
311,324,119,3,4.5,3.5,8.7,0,0.67
312,337,107,4,2.0,4.0,7.77,1,0.66
313,314,120,1,5.0,3.5,9.37,1,0.69
314,324,104,5,2.5,3.0,9.78,0,0.63
315,314,105,3,1.5,1.0,9.36,1,0.49
316,318,94,2,4.0,5.0,6.8,1,0.35
317,307,120,2,3.5,4.0,8.79,1,0.62
318,335,97,3,3.0,2.0,6.96,1,0.43
319,307,109,2,3.0,5.0,7.6,0,0.42
320,291,110,4,4.0,3.5,6.99,1,0.45
321,324,96,1,2.0,3.5,8.68,1,0.42
322,305,106,4,5.0,4.0,8.94,1,0.64
323,330,116,2,5.0,4.0,7.16,1,0.64
324,325,93,5,3.5,3.5,8.0,0,0.48
325,322,101,1,2.0,1.5,8.22,1,0.43
326,293,115,1,3.5,2.5,7.95,0,0.36
327,322,109,3,1.5,4.5,7.18,1,0.52
328,303,118,3,1.0,2.0,8.11,0,0.44
329,310,104,5,2.0,2.5,9.14,0,0.49
330,337,96,1,3.0,2.5,7.02,0,0.35
331,309,114,5,4.5,3.0,7.05,0,0.47
332,297,115,3,4.0,3.5,7.91,0,0.43
333,296,92,3,4.0,5.0,9.74,1,0.58
334,292,113,1,2.5,2.0,8.89,1,0.44
335,306,92,4,2.5,1.5,8.92,1,0.35
336,322,109,2,2.5,2.0,7.93,0,0.4
337,337,106,3,5.0,4.5,8.65,1,0.76
338,301,108,3,1.0,3.5,6.83,0,0.34
339,340,102,4,4.5,2.0,8.78,0,0.65
340,311,112,4,3.5,4.5,9.65,1,0.7
341,311,117,5,3.0,4.5,8.71,1,0.69
342,335,116,5,4.0,4.5,9.53,0,0.84
343,319,113,2,3.0,4.5,9.06,0,0.6
344,327,118,2,4.5,2.0,7.18,1,0.52
345,327,118,1,4.5,4.0,9.62,1,0.76
346,334,108,5,2.5,3.0,7.01,1,0.56
347,340,104,3,2.0,4.5,8.47,1,0.66
348,297,92,5,3.5,4.0,7.24,0,0.39
349,316,93,3,4.5,4.0,6.84,1,0.41
350,316,100,4,2.0,3.5,8.12,1,0.47
351,323,94,5,3.5,1.5,7.72,1,0.49
352,310,92,4,3.5,3.0,8.32,0,0.4
353,319,112,2,4.0,5.0,8.6,0,0.62
354,322,107,2,1.5,4.5,6.94,0,0.42
355,317,114,1,4.0,1.0,7.18,0,0.45
356,336,97,5,4.5,1.5,8.54,1,0.59
357,322,119,4,1.5,1.5,7.87,0,0.54
358,294,108,3,2.0,4.0,9.08,1,0.45
359,337,96,2,5.0,4.5,8.84,1,0.67
360,308,96,2,1.5,2.0,9.44,1,0.37
361,293,97,3,4.5,3.0,8.96,1,0.41
362,324,94,4,3.0,4.5,8.14,0,0.47
363,338,112,4,2.0,4.0,8.9,0,0.72
364,306,114,5,4.5,3.0,7.66,0,0.56
365,333,96,5,3.0,3.5,7.76,1,0.53
366,317,112,1,3.0,3.0,9.26,1,0.59
367,319,96,2,2.5,2.0,8.19,1,0.38
368,318,101,5,3.5,3.5,9.29,1,0.6
369,335,101,4,1.5,4.0,9.37,1,0.66
370,295,110,3,2.5,4.5,9.48,0,0.49
371,324,108,4,5.0,3.5,9.66,1,0.83
372,330,112,2,2.0,4.0,8.14,0,0.57
373,326,105,4,3.5,1.5,7.79,1,0.49
374,313,100,1,2.5,3.0,8.62,1,0.41
375,318,105,2,4.0,1.0,7.96,0,0.44
376,338,92,3,1.5,2.0,8.68,0,0.51
377,335,110,1,5.0,4.0,9.0,1,0.67
378,320,104,2,3.0,5.0,8.95,1,0.54
379,324,104,3,2.0,1.5,7.97,1,0.52
380,322,95,1,1.5,2.5,7.32,1,0.34
381,310,92,1,1.5,4.0,8.14,0,0.34
382,321,108,2,3.0,2.0,7.24,1,0.46
383,312,99,5,2.5,3.0,9.58,0,0.45
384,322,93,1,4.5,4.0,7.88,1,0.45
385,292,119,1,2.5,3.5,7.28,0,0.34
386,307,99,3,2.0,2.0,6.88,0,0.34
387,314,98,4,3.5,2.5,8.81,1,0.49
388,331,117,2,4.0,4.0,8.79,0,0.69
389,320,117,2,1.5,3.0,7.86,1,0.51
390,292,93,5,1.5,1.0,7.02,0,0.34
391,329,113,5,1.0,4.0,8.08,1,0.63
392,335,113,2,4.0,1.0,7.77,0,0.52
393,313,94,5,3.5,4.0,8.91,1,0.52
394,339,118,3,3.0,2.0,8.69,1,0.75
395,321,109,2,4.5,5.0,7.94,0,0.59
396,336,103,5,4.0,2.5,7.48,0,0.56
397,311,92,2,3.5,2.5,9.88,0,0.43
398,312,113,4,4.5,1.5,8.22,0,0.48
399,291,103,1,2.0,2.0,8.95,1,0.34
400,316,96,2,1.5,4.5,7.24,0,0.34
401,331,118,1,2.0,5.0,8.32,1,0.74
402,291,116,5,1.0,2.5,6.89,0,0.34
403,315,108,1,3.0,3.0,8.38,1,0.53
404,306,107,2,4.5,4.0,9.81,1,0.65
405,329,106,4,1.0,4.5,8.0,1,0.59
406,322,114,5,1.5,3.5,6.92,1,0.6
407,298,106,2,3.0,2.5,6.9,0,0.34
408,332,96,5,4.5,2.5,8.01,0,0.55
409,337,112,3,2.5,4.0,7.3,1,0.62
410,328,105,1,3.0,1.0,6.87,0,0.37
411,318,93,3,1.0,3.5,9.16,0,0.44
412,331,102,2,1.5,2.5,8.23,1,0.47
413,315,110,4,5.0,4.0,7.7,0,0.52
414,324,98,5,5.0,1.5,9.61,0,0.6
415,339,97,1,1.0,3.5,7.16,0,0.34
416,314,119,5,5.0,3.0,9.78,1,0.8
417,313,93,2,3.5,3.5,7.78,0,0.37
418,302,97,5,4.5,1.5,9.57,1,0.51
419,296,109,1,3.0,3.5,8.68,0,0.38
420,325,93,2,3.0,3.0,9.38,0,0.47
421,334,109,5,3.0,3.0,9.87,0,0.76
422,309,106,4,3.5,3.5,7.7,1,0.44
423,290,118,2,1.5,3.5,9.8,1,0.51
424,297,110,2,1.0,4.0,8.02,0,0.35
425,335,93,4,2.0,2.0,8.0,1,0.52
426,305,111,3,4.0,4.5,7.86,0,0.48
427,303,116,1,2.0,3.0,8.49,1,0.41
428,301,97,3,3.5,1.5,7.28,1,0.34
429,340,92,5,5.0,1.0,8.53,0,0.54
430,312,115,4,1.5,2.5,8.49,0,0.47
431,304,106,3,3.5,4.0,9.18,0,0.49
432,317,119,2,3.0,4.0,9.4,0,0.64
433,323,114,5,4.5,4.0,8.17,1,0.7
434,291,101,5,1.5,3.0,7.74,1,0.34
435,321,110,3,4.0,3.0,7.61,1,0.59
436,312,108,3,4.5,1.5,7.41,0,0.45
437,311,96,4,5.0,2.5,6.98,0,0.38
438,340,120,1,3.5,2.5,7.87,1,0.63
439,314,95,3,3.0,1.5,7.64,0,0.34
440,311,101,3,3.5,2.0,9.82,1,0.55
441,311,115,2,4.5,3.5,8.54,1,0.62
442,338,108,5,3.5,4.0,7.88,1,0.73
443,331,101,1,1.0,5.0,8.61,1,0.51
444,295,108,2,4.5,4.5,7.23,1,0.42
445,304,119,4,4.0,3.5,8.19,0,0.58
446,332,111,4,3.5,2.5,8.75,0,0.69
447,326,115,3,2.0,3.5,8.33,0,0.6
448,322,96,3,3.5,4.0,8.05,1,0.53
449,297,93,4,2.5,1.5,9.9,1,0.42
450,333,97,3,3.5,2.5,9.55,1,0.67
451,333,112,1,1.5,4.5,8.75,1,0.65
452,294,93,3,3.5,2.5,8.58,0,0.34
453,328,104,5,5.0,3.5,8.74,0,0.7
454,293,102,3,1.0,3.5,7.43,1,0.34
455,295,102,2,5.0,1.5,8.03,1,0.35
456,334,107,1,2.5,2.5,6.92,1,0.45
457,321,102,2,4.5,2.5,8.28,0,0.48
458,319,110,2,4.0,1.0,8.49,0,0.5
459,336,106,5,3.5,1.0,7.51,0,0.54
460,324,116,1,4.0,4.5,9.81,1,0.76
461,329,114,1,4.5,2.0,9.64,1,0.75
462,305,114,1,2.5,3.0,9.05,0,0.5
463,302,107,1,2.5,2.0,8.46,1,0.39
464,339,102,1,3.5,5.0,9.51,0,0.68
465,331,113,5,4.0,2.0,7.21,1,0.6
466,319,107,3,4.0,2.5,9.27,0,0.58
467,308,99,2,4.0,4.5,7.19,1,0.46
468,306,95,1,2.5,4.5,9.28,0,0.38
469,308,99,3,4.5,1.5,7.66,0,0.34
470,317,95,3,1.5,4.0,9.54,0,0.45
471,315,115,2,3.0,3.0,9.75,0,0.57
472,326,116,5,1.0,3.0,7.26,0,0.51
473,315,94,4,2.5,1.5,8.24,0,0.35
474,312,94,4,2.5,1.5,9.86,1,0.45
475,298,118,3,2.5,4.0,8.31,1,0.54
476,301,120,2,4.0,3.0,9.49,1,0.65
477,290,109,4,2.5,2.5,8.64,0,0.36
478,290,120,3,3.0,4.0,7.97,0,0.5
479,336,117,5,2.0,4.0,7.69,1,0.73
480,323,110,4,2.5,1.5,7.43,0,0.49
481,321,110,3,2.0,3.5,9.18,0,0.55
482,337,112,3,1.5,1.5,8.01,0,0.56
483,314,96,1,3.5,4.0,8.4,0,0.36
484,329,109,5,3.5,3.5,8.34,0,0.67
485,334,119,1,3.5,5.0,8.6,1,0.75
486,290,101,2,3.0,1.5,9.5,1,0.39
487,305,120,1,2.5,1.0,9.86,1,0.52
488,328,113,1,4.5,2.0,8.07,1,0.56
489,294,112,4,3.0,2.0,9.38,1,0.55
490,311,97,3,3.0,2.0,9.19,0,0.39
491,318,92,5,1.0,4.5,8.59,0,0.46
492,292,96,1,2.5,2.0,9.78,0,0.34
493,301,100,5,2.5,2.0,7.43,0,0.34
494,315,103,1,2.5,4.0,7.14,1,0.35
495,305,117,2,3.5,3.0,9.46,1,0.63
496,340,105,1,3.0,4.0,8.17,1,0.62
497,326,93,4,3.5,1.5,9.44,0,0.49
498,311,108,3,4.0,3.0,9.59,1,0.64
499,318,105,2,4.5,1.0,6.99,0,0.37
500,303,117,1,4.0,1.5,9.56,1,0.54
